Use,Species,species.alt,Species.no.ssp,code,new.code,accept.code,family,group,nat.inv,Heteromorphic,Heteromorphic.ref,Heteromorphic.Notes,Fruit Type,germinule.equal.dispersule.,germ.disp.notes,germ.disp.ref,dormancy.type,dorm.notes
y,Amaranthus fimbriatus,,Amaranthus fimbriatus,AMAFIM,AMAFIM,AMFI,Amaranthaceae,forb,native,n,Jepson eflora,"Fruit: circumscissile; 1.3--2 mm, +- spheric to ovoid, green to tan, wrinkled especially near tip. Seed: 0.9--1 mm, lenticular, round, dark red-brown to black, smooth, shiny. ",utricle (dehiscent),y,"Utricles subglobose to obovate, 1.2-2 mm, shorter than tepals, rugose to nearly smooth, dehiscence regularly circumscissile.",SEINet,PD,genus
y,Amaranthus hybridus,,Amaranthus hybridus,AMAHYB,AMAHYB,AMHY,Amaranthaceae,forb,native,n,Jepson eflora,"Fruit: circumscissile; 1.5--2.2 mm, ovoid to obovoid, irregular-dehiscent or indehiscent, occasionally on same pl, lid strongly wrinkled at base. Seed: 0.9--1.4 mm, lenticular, widely elliptic to round, brown to black, smooth to finely dotted on margin, shiny.",utricle (dehiscent),y,"Utricles obovoid or elongate-ovoid, 1.5-2.5 mm, shorter than tepals, smooth proximally, lid verrucose or rugose, dehiscence regularly circumscissile, or rarely in some presumably hybrid forms, irregularly dehiscent or indehiscent.",SEINet,PD,
y,Amaranthus palmeri,,Amaranthus palmeri,AMAPAL,AMAPAL,AMPA,Amaranthaceae,forb,native,n,Jepson eflora,"Fruit: circumscissile; 1.5--2 mm, < perianth, +- spheric to obovoid, brown to occasionally red-brown, smooth or +- rough near tip. Seed: 1--1.4 mm wide, lenticular, elliptic to obovate, dark red-brown to black, smooth, shiny. ",utricle (dehiscent),y,fruit circumscissile,SEINet,PD,genus
y,Amaranthus torreyi,,Amaranthus torreyi,AMATOR,AMATOR,AMTO6,Amaranthaceae,forb,native,n,Jepson eflora,"Fruit: circumscissile; 1.4--2 mm, <= perianth parts, +- spheric to obovoid; lid coarse-wrinkled near base. Seed: 0.9--1.1 mm, lenticular, dark brown to black, smooth, shiny.",utricle (dehiscent),y,fruit circumscissile,SEINet,PD,genus
y,Tidestromia suffruticosa var. oblongifolia,Tidestromia oblongifolia,Tidestromia suffruticosa var. oblongifolia,TIDSUFO,TIDSUF,TISUO,Amaranthaceae,forb,native,n,Jepson eflora ,Seed: 0.9--1.6 mm.,utricle (dehiscent),,,,,
y,Daucus pusillus,,Daucus pusillus,DAUPUS,DAUPUS,DAPU3,Apiaceae,forb,native,n,Jepson eflora,Fruit: 3--5 mm.,mericarp,n,fruit is a mericarp (indehiscent dry fruit),,MPD,
y,Achyrachaena mollis,,Achyrachaena mollis,ACHMOL,ACHMOL,ACMO,Asteraceae,forb,native,y,Jepson eflora,"Fruit: 4.5--9 mm; ray fruit +- club-shaped, compressed front-to-back, 10-ribbed, glabrous or +- scabrous, black, pappus 0; disk fruit similar to ray fruits, +- scabrous, brown to black, pappus of 10, oblong, shiny-white, obtuse scales in 2 series, 5 outer scales 3--9 mm, 5 inner scales 6--13 mm, spreading in fruit.",achene,n,fruit is achene,Jepson eflora,,
y,Agoseris heterophylla,,Agoseris heterophylla,AGOHET,AGOHET,AGHE2,Asteraceae,forb,native,n,Jepson eflora,"Fruit: outermost generally different (all alike); body 2--5 mm, generally fusiform but highly variable, sometimes inflated, tip gradually tapered to truncate; ribs straight to wavy (ribless), uniform or smaller downward, glabrous to minutely coarse-hairy; beak 5--11 mm, slender, generally 2--3 × body; pappus 4--9 mm, in 2--3 series.",achene,n,pappus present,,PD,genus
y,Ancistrocarphus filagineus,,Ancistrocarphus filagineus,ANCFIL,ANCFIL,ANFI3,Asteraceae,forb,native,n,SEINet,"Cypselae 1.4-2 × 0.6-0.9 mm, transverse bands 1, proximal, black.",achene,y,,,,
y,Anisocoma acaulis,,Anisocoma acaulis,ANIACA,ANIACA,ANAC,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 10--15-veined; pappus readily deciduous, of 10 plumose bristles in 1 series, white, bristles on adaxial side of fruit < those on abaxial side. ",achene,y,,,,
y,Atrichoseris platyphylla,,Atrichoseris platyphylla,ATRPLA,ATRPLA,ATPL,Asteraceae,forb,native,n,Jepson eflora,"Fruit: 4--4.5 mm, +- cylindric or broadly club-shaped with 4--5 blunt angles, +- white; pappus 0.",achene,y,,,,
y,Calycadenia multiglandulosa,,Calycadenia multiglandulosa,CALMUL,CALMUL,CAMU3,Asteraceae,forb,native,y,SEINet,"Ray cypselae ca. 2.5 mm, smooth, glabrous or ± appressed-hairy. Disc cypselae ca. 2.5 mm, nearly smooth to ± appressed-hairy",achene,y,,,,
y,Calycadenia pauciflora,,Calycadenia pauciflora,CALPAU,CALPAU,CAPA6,Asteraceae,forb,native,y,Jepson eflora,"Fruit: ray fruit smooth, glabrous; disk pappus scales generally 8--10, alternately long and short.",achene,y,,,,
