ID,use.,dispersule,seeds.per.disp,morphological.unit,chemical.unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,type,mega.comp,microbe.rob,notes,AI
CBG-19899,,,,,,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,1998,0,NA,NA,2.02568306,165,35.66696,-116.28821,141,,19899,CBG,wild,,,,0.0195
DW-01,,,,,,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2015,NA,NA,NA,NA,NA,33.300707,-116.329031,NA,,,DW,wild,,,only 200,0.057
SS-1,both,y,1,anthocarp,seed,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2020,12,NA,NA,0.3115,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
CBG-21097,,,,,,Achyrachaena mollis, ,ACHMOL,ACMO,Asteraceae,forb,native,2003,28,NA,NA,0.294872263,55,32.89794,-118.48631,420,,21097,CBG,wild,,,,0.1894
CBG-22430,,,,,,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,1997,80,NA,NA,0.03323741,14,34.14013,-118.76048,257,,22430,CBG,wild,,,,0.2085
MCL-EE-59,,,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,,NA
MCL-ML-1a,both,y,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,NA,NA,NA,0.72,NA,38.86537177,-122.4029395,663,location approximate,,MCL-ML,wild,,,,0.5527
MCL-ML-1b,both,y,1,achene + remnant flower,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,NA,NA,NA,NA,44,38.86537177,-122.4029395,663,location approximate,,MCL-ML,wild,,,"only 44 of this morph, 43 of them are in their dispersules and 1 is clean",0.5527
CBG-24787,both,,1,seed,seed,Achyronychia cooperi,,ACHCOO,ACCO3,Caryophyllaceae,forb,native,2017,60,NA,NA,0.110518868,1100,33.87157,-116.44117,394,,24787,CBG,wild,,,,0.0585
HED-1,both,,1,seed,seed,Acmispon americanus,Lotus purshianus,ACMAME,LOUNU,Fabaceae,forb,native,2021,76,NA,NA,1.155,NA,NA,NA,NA,,,HED,cultivated,x,,,NA
MCL-EE-2,,,1,seed,seed,Acmispon brachycarpus,Lotus humistratus,ACMBRA,LOHU2,Fabaceae,forb,native,2019,NA,NA,NA,NA,NA,38.87239,-122.42753,659,,,MCL-EE,wild,,,not enough of this one; cabinet,0.5647
GRIN-W6-32602,both,,1,seed,seed,Acmispon maritimus var. brevivexillus,Lotus salsuginosus var. brevivexillus,ACMMARB,LOSAB,Fabaceae,forb,native,2007,78,NA,NA,0.3715,100,33.9038,-111.82012,1016,,W6 32602,GRIN,wild,,,collected before 2007; cannot order more,0.2017
CBG-23436,both,,1,seed,seed,Acmispon strigosus,Lotus strigosus,ACMSTR,LOST4,Fabaceae,forb,native,2011,30,NA,NA,0.568,427,33.66545,-116.83133,760,,23436,CBG,wild,,,,0.1598
MCL-ML-16,both,,1,seed,seed,Acmispon wrangelianus,Lotus wrangelianus,ACMWRA,LOWR2,Fabaceae,forb,native,2021,NA,NA,NA,0.49,NA,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,wild,,,,0.5647
MCL-EE-3,,,,,,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2016,NA,NA,NA,NA,NA,38.86037,-122.40679,NA,,,MCL-EE,wild,,,have another acc,0.5527
SFREC-20,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,NA,NA,NA,3.58,NA,39.24872381,-121.315312,193,,,SFREC,wild,,,spikelet,0.4725
SFREC-20a,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,NA,NA,NA,1.37,NA,39.24872381,-121.315312,193,,,SFREC,wild,,,"morph 2, small",0.4725
SFREC-20b,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,NA,NA,NA,3.58,NA,39.24872381,-121.315312,193,,,SFREC,wild,,,"morph 1, large",0.4725
MCL-EE-4,,,,,,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2016,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,have another acc,NA
MCL-ML-7,both,y,1,achene + pappus,achene,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2015,NA,NA,NA,0.17,NA,38.82669382,-122.3390715,399,,,MCL-ML,wild,,,,0.4412
CBG-19964,both,,1,seed,seed,Aliciella latifolia ssp. latifolia,,ALILATL,ALLAL3,Polemoniaceae,forb,native,1998,30,NA,NA,0.088171893,1750,33.60372,-115.92266,240,,19964,CBG,wild,,,not enough of this species for phosphorus,0.0325
GRIN-PI-612855,,,,,,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,1999,97,0,0.26,0.06,400,33.41666667,-112,345,,PI 612855,GRIN,wild,,,,0.073075
GRIN-PI-662285,both,,1,seed,seed,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,2010,74,73,0.26,0.064,400,31.83397,-110.85645,1111,,PI 662285,GRIN,wild,,,,0.1788
GRIN-PI-688207,both,,1,seed,seed,Amaranthus hybridus,,AMAHYB,AMHY,Amaranthaceae,forb,native,2010,100,31,0.56,0.112,200,31.79261,-110.74676,1580,,PI 688207,GRIN,wild,,,,0.2403
GRIN-PI-612856,both,,1,seed,seed,Amaranthus palmeri,,AMAPAL,AMPA,Amaranthaceae,forb,native,1999,84,9,0.3,0.12,400,33.41666667,-112,345,,PI 612856,GRIN,wild,,,,0.073075
GRIN-PI-688211,both,,1,seed,seed,Amaranthus torreyi,,AMATOR,AMTO6,Amaranthaceae,forb,native,2010,95,0,NA,0.14,400,31.79261,-110.74676,1580,,PI 688211,GRIN,wild,,,,0.2403
GRIN-W6-48213,both,,1,nutlet,nutlet,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2013,92,NA,NA,0.89,200,33.393283,-111.3626803,709,,W6 48213,GRIN,wild,,,,0.1581
SS-2,,,,,,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2019,73,NA,NA,0.4063,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,x,,NA
CBG-20715,,,,,,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2001,99,NA,NA,1.665540475,600,33.75519,-116.89113,518,,20715,CBG,wild,,,,0.1268
SFREC-1,both,,1,nutlet,nutlet,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2021,NA,NA,NA,0.7,NA,39.23602182,-121.3049973,353,,,SFREC,wild,x,,,0.5161
SS-3,both,,1,nutlet,nutlet,Amsinckia tessellata,,AMSTES,AMTE3,Boraginaceae,forb,native,2018,78,NA,NA,0.9543,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
MCL-EE-5,morph,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2019,NA,NA,NA,0.1646,NA,38.86556193,-122.402132,679,near kathy's house,,MCL-EE,wild,,x,only need 200,0.5527
OUT-1,chem,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2021,NA,NA,NA,1.139,NA,NA,NA,NA,,,OUT,cultivated,x,,,NA
MCL-EE-6,both,,1,achene,achene,Ancistrocarphus filagineus,,ANCFIL,ANFI3,Asteraceae,forb,native,2019,NA,NA,NA,0.0614,NA,38.87251,-122.4273,663,,,MCL-EE,wild,,,,0.5647
CBG-21059,both,,1,achene,achene,Anisocoma acaulis,,ANIACA,ANAC,Asteraceae,forb,native,2003,8,NA,NA,2.0816,193,34.32338,-117.27163,960,,21059,CBG,wild,,,,0.1272
GRIN-W6-36754,both,y,1,mericarp,seed,Anoda pentaschista,,ANOPEN,ANPE4,Malvaceae,forb,native,2007,83,NA,5.282,0.5282,100,34.24222,-112.04806,1118,,W6 36754,GRIN,wild,,,cannot order more,0.1884
CBG-22016,morph,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2006,30,NA,NA,0.24306204,1800,34.70846,-118.69405,1195,,22016,CBG,wild,,,,0.1572
DW-02,,,,,,Antirrhinum coulterianum,,ANTCOU,SACO13,Plantaginaceae,forb,native,2015,NA,NA,NA,NA,NA,33.239178,-116.392846,NA,,,DW,wild,,,dont need this one,0.0692
SS-4,chem,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2019,68,NA,NA,0.2508,NA,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,wild,,,,NA
CBG-22451,both,,1,seed,seed,Antirrhinum multiflorum,Sairocarpus multiflorus,ANTMUL,SAMU2,Plantaginaceae,forb,native,2001,16.3,NA,NA,0.313104711,20900,34.09281,-118.60984,253,,22451,CBG,wild,,,,0.2113
