"keep","Species","ID","site","acc","Species.no.ssp","code","new.code","family","group","nat.inv","appendage type","appendage","disp.cat.all","disp.cat.nat","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","width","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"keep","Abronia villosa","SS-1","SS","SS","Abronia villosa","ABRVIL","ABRVIL","Nyctaginaceae","forb","native","flat appendage","wing","wind","wind",213.86,19.27,215.7991285,0.422656153370439,0.0299134199134199,80,0.007755004,10.8171876,8.7964421,240.422910315407,2.11777771762598,0.012,0,0.012,0.00136418791411132,0.939910393744136,5,5,0,1,1,1,NA,NA,NA,NA
"combine","Achyrachaena mollis","MCL-EE-59","MCL","MCL-EE","Achyrachaena mollis","ACHMOL","ACHMOL","Asteraceae","forb","native","flat appendage","pappus","wind","wind",NA,NA,NA,0.490353708791209,0.0354567307692308,14.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,1,NA,NA,NA,NA
"combine","Achyrachaena mollis","MCL-ML-1a","MCL","MCL-ML","Achyrachaena mollis","ACHMOL","ACHMOL","Asteraceae","forb","native","flat appendage","pappus","wind","wind",37.09,29.57,216.98155776,NA,NA,14.25,0.153171069,7.36065015,1.24967095,82.880002198149,1,0,0.0612,0.0612,0.0489728916239911,0.211793125454393,5,5,0,0,NA,1,0.5527,NA,NA,NA
"combine","Achyrachaena mollis","MCL-ML-1b","MCL","MCL-ML","Achyrachaena mollis","ACHMOL","ACHMOL","Asteraceae","forb","native","flat appendage","pappus","wind","wind",43.5,43.5,199.54314038,NA,NA,14.25,0.14866831,13.079445,2.1625512,NA,NA,0,0,0,0,0.585337040701162,5,5,0,NA,NA,1,0.5527,NA,NA,NA
"keep","Achyronychia cooperi","CBG-24787","CBG","CBG","Achyronychia cooperi","ACHCOO","ACHCOO","Caryophyllaceae","forb","native","no appendage","none","unassisted","unassisted",1.2428,1.2428,162.19225472,0.420037792894936,0.0268556311413454,10,0.055025189,0.92617447,0.46530299,48.9436696635592,1.46956611585424,0.006,0,0.006,0.0128948236502843,1.07046812049812,1,1,0,1,1,0,0.0585,NA,NA,NA
"keep","Acmispon americanus","HED-1","HED","HED","Acmispon americanus","ACMAME","ACMAME","Fabaceae","forb","native","no appendage","none","unassisted","unassisted",51.31,51.31,279.52955156,0.44360827927093,0.078736484399135,16.75,0.037032266,2.7541505,1.4801066,23.2090582806423,1,0.0216,0,0.0216,0.014593543465045,3.50883186863481,1,1,0,1,0,0,NA,0.07,0.48,0.45
"keep","Acmispon maritimus var. brevivexillus","GRIN-W6-32602","GRIN","GRIN","Acmispon maritimus var. brevivexillus","ACMMARB","ACMMAR","Fabaceae","forb","native","no appendage","none","unassisted","unassisted",23.15,23.15,287.16328206,0.465489073881374,0.0611576482830385,3.94,0.029657746,2.1293152,1.24080806,69.298378627201,0.980614067593081,0.0436,0,0.0436,0.0351383919927148,2.47688403836652,1,1,0,0,0,0,0.2017,NA,NA,NA
"keep","Acmispon strigosus","CBG-23436","CBG","CBG","Acmispon strigosus","ACMSTR","ACMSTR","Fabaceae","forb","native","no appendage","none","unassisted","unassisted",15.7,15.7,280.78185676,0.437846200980392,0.0479779411764706,26.5,0.011443142,1.60418735,1.18763048,16.9290472594191,0.967704181471898,0.0302,0,0.0302,0.0254287848860194,2.56242970720794,1,1,0,0,0,1,0.1598,NA,NA,NA
"keep","Acmispon wrangelianus","MCL-ML-16","MCL","MCL-ML","Acmispon wrangelianus","ACMWRA","ACMWRA","Fabaceae","forb","native","no appendage","none","ant","ant",23.06,23.06,237.2913509,0.436077217801356,0.0528824049513705,8.91916666675,0.033233962,2.344241,1.3072798,28.9427282017462,0.976977100229508,0.0414,0,0.0414,0.0316688133634437,2.2615948959432,3,3,0,0,1,0,0.5647,NA,NA,NA
"combine","Aegilops triuncialis","SFREC-20","SFREC","SFREC","Aegilops triuncialis","AEGTRI","AEGTRI","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive",504.95,NA,372.3381325,NA,NA,47.8333333333333,NA,NA,NA,88.9446148837197,NA,NA,NA,NA,NA,1.59646729593983,7,6,NA,NA,NA,1,0.4725,0.03,0.23,0.74
"combine","Aegilops triuncialis","SFREC-20a","SFREC","SFREC","Aegilops triuncialis","AEGTRI","AEGTRI","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive",NA,65.45,NA,0.425070257611241,0.0306206088992974,47.8333333333333,0.123138785,6.3436308,1.2363766,27.4743301937115,0.333626791237198,0,0,0.026,0.0210291912674504,NA,7,6,0,0,1,1,0.4725,0.03,0.23,0.74
