"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Abronia villosa","ABRVIL","Nyctaginaceae","forb","native","flat appendage","wing","wind","wind","SS",213.86,19.27,215.7991285,0.422656153370439,0.0299134199134199,80,0.007755004,10.8171876,240.422910315407,2.11777771762598,0.012,0,0.012,0.00136418791411132,0.939910393744136,5,5,0,1,1,1,NA,NA,NA,NA
"Achyrachaena mollis","ACHMOL","Asteraceae","forb","native","flat appendage","pappus","wind","wind","MCL",40.295,36.535,208.26234907,0.490353708791209,0.0354567307692308,14.25,0.1509196895,10.220047575,82.880002198149,1,0,0.0306,0.0306,0.0244864458119955,0.398565083077777,5,5,0,0,NA,1,0.5527,NA,NA,NA
"Achyronychia cooperi","ACHCOO","Caryophyllaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",1.2428,1.2428,162.19225472,0.420037792894936,0.0268556311413454,10,0.055025189,0.92617447,48.9436696635592,1.46956611585424,0.006,0,0.006,0.0128948236502843,1.07046812049812,1,1,0,1,1,0,0.0585,NA,NA,NA
"Acmispon americanus","ACMAME","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","HED",51.31,51.31,279.52955156,0.44360827927093,0.078736484399135,16.75,0.037032266,2.7541505,23.2090582806423,1,0.0216,0,0.0216,0.014593543465045,3.50883186863481,1,1,0,1,0,0,NA,0.07,0.48,0.45
"Acmispon maritimus var. brevivexillus","ACMMAR","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","GRIN",23.15,23.15,287.16328206,0.465489073881374,0.0611576482830385,3.94,0.029657746,2.1293152,69.298378627201,0.980614067593081,0.0436,0,0.0436,0.0351383919927148,2.47688403836652,1,1,0,0,0,0,0.2017,NA,NA,NA
"Acmispon strigosus","ACMSTR","Fabaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",15.7,15.7,280.78185676,0.437846200980392,0.0479779411764706,26.5,0.011443142,1.60418735,16.9290472594191,0.967704181471898,0.0302,0,0.0302,0.0254287848860194,2.56242970720794,1,1,0,0,0,1,0.1598,NA,NA,NA
"Acmispon wrangelianus","ACMWRA","Fabaceae","forb","native","no appendage","none","ant","ant","MCL",23.06,23.06,237.2913509,0.436077217801356,0.0528824049513705,8.91916666675,0.033233962,2.344241,28.9427282017462,0.976977100229508,0.0414,0,0.0414,0.0316688133634437,2.2615948959432,3,3,0,0,1,0,0.5647,NA,NA,NA
"Aegilops triuncialis","AEGTRI","Poaceae","grass","invasive","elongated appendage","awn","human","adhesive","SFREC",504.95,125.8,372.3381325,0.421786667697619,0.0333363257143381,47.8333333333333,0.1263648505,7.3794839,49.457598258894,0.344965005060317,0,0,0.021,0.0154741433924033,1.59646729593983,7,6,0,0.5,1,1,0.4725,0.03,0.23,0.74
"Agoseris heterophylla","AGOHET","Asteraceae","forb","native","elongated appendage","plume","wind","wind","MCL",4.1812,4.1812,173.120060794,0.424710335747202,0.0384002633311389,17.9733333333333,0.151317905,2.9912335,100.065554070011,1,0,0.0686,0.0686,0.131188431796435,0.238834051141652,5,5,0,NA,NA,1,0.4412,NA,NA,NA
"Aliciella latifolia","ALILAT","Polemoniaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",0.556,0.556,122.776924834,0.404399872652022,0.0352403693091372,20,0.02292827,0.73119042,101.28863003991,0.912852495691057,0.0042,0,0.0042,0.00846222766813585,0.534202405063777,1,1,0,1,0,0,0.0325,NA,NA,NA
"Amaranthus fimbriatus","AMAFIM","Amaranthaceae","forb","native","no appendage","none","animal","animal","GRIN",1.621,1.621,180.3728417,0.439505141388175,0.0354916452442159,65,0.020300871,0.77328926,25.1490512637735,2.64460066383593,0.009,0,0.009,0.0176603012792455,1.20750203658888,6,6,0,1,1,0,0.1788,NA,NA,NA
"Amaranthus hybridus","AMAHYB","Amaranthaceae","forb","native","no appendage","none","human","animal","GRIN",4.8303,4.8303,252.7423062,0.428009198423127,0.0222207621550591,59.6875,0.038366384,1.07241265,44.5444407197125,2.64848461891273,0.0168,0,0.0168,0.0289395270513004,1.96179102199333,7,6,0,0,1,0,0.2403,NA,NA,NA
"Amaranthus palmeri","AMAPAL","Amaranthaceae","forb","native","no appendage","none","animal","animal","GRIN",3.3968,3.3968,239.12091812,0.44097211363044,0.0293015376596299,100,0.028519062,0.972704825,25.8426267202196,2.59113769893384,0.0118,0,0.0118,0.0204829312782727,1.64641564437639,6,6,0,1,1,0,0.073075,0.08,0.16,0.76
"Amaranthus torreyi","AMATOR","Amaranthaceae","forb","native","no appendage","none","animal","animal","GRIN",3.5405,3.5405,255.8364196,0.426734757041164,0.0268740328071804,40,0.020382681,0.966057675,25.8163532957642,2.7713545253299,0.0134,0,0.0134,0.0200254041679501,1.52788092034869,6,6,0,1,1,0,0.2403,NA,NA,NA
"Amsinckia intermedia","AMSINT","Boraginaceae","forb","native","no appendage","none","animal","animal","GRIN",19.38,19.38,268.56270552,0.404198128428525,0.0269474023878671,70.12,0.025141635,2.262259,63.2042757853967,1,0.0158,0.1224,0.1382,0.0968513364222976,2.10734924020273,6,6,0,NA,NA,1,0.1581,NA,NA,NA
"Amsinckia menziesii","AMSMEN","Boraginaceae","forb","native","no appendage","none","ant","ant","SFREC",27.17,27.17,284.84172636,0.480205328578311,0.0167060755336617,38.2825,0.033777884,3.20837495,77.0240301440855,1,0.0154,0.1144,0.1298,0.0716151404558839,1.57408226108707,3,3,0,NA,NA,1,0.5161,NA,NA,NA
