"Species_Name","n.plots","mean.years","min.years","max.years","FunGroup","new.code"
"Anagallis arvensis",50,3.44,1,20,"Exotic Forb","ANAARV"
"Gastridium ventricosum",95,3.01052631578947,1,14,"Exotic Grass","GASVEN"
"Astragalus gambelianus",106,3.88679245283019,1,14,"Native Forb","ASTGAM"
"Avena fatua",357,14.890756302521,1,20,"Exotic Grass","AVEFAT"
"Bromus hordeaceus",397,14.823677581864,1,20,"Exotic Grass","BROHOR"
"Bromus madritensis",253,7.1304347826087,1,20,"Exotic Grass","BROMAD"
"Centaurea solstitialis",175,7.77142857142857,1,20,"Exotic Forb","CENSOL"
"Elymus caput-medusae",309,12.6893203883495,1,20,"Exotic Grass","ELYCAP"
"Erodium cicutarium",220,7.80909090909091,1,20,"Exotic Forb","EROCIC"
"Festuca microstachys",238,11.8109243697479,1,20,"Native Grass","FESMIC"
"Lupinus bicolor",228,9.21929824561403,1,20,"Native Forb","LUPBIC"
"Senecio vulgaris",88,2.34090909090909,1,9,"Exotic Forb","SENVUL"
"Acmispon wrangelianus",275,8.30545454545454,1,20,"Native Forb","ACMWRA"
"Athysanus pusillus",232,4.17672413793103,1,17,"Native Forb","ATHPUS"
"Clarkia purpurea",276,7.2536231884058,1,20,"Native Forb","CLAPUR"
"Hemizonia congesta",236,12.1906779661017,1,20,"Native Forb","HEMCON"
"Plagiobothrys nothofulvus",56,3.98214285714286,1,16,"Native Forb","PLANOT"
"Plantago erecta",288,11.5659722222222,1,20,"Native Forb","PLAERE"
"Lasthenia californica",162,12.1543209876543,1,20,"Native Forb","LASCAL"
"Lupinus succulentus",46,5.69565217391304,1,15,"Native Forb","LUPSUC"
"Microsteris gracilis",69,3.66666666666667,1,15,"Native Forb","MICGRA"
"Vicia villosa",193,6.74093264248705,1,19,"Exotic Forb","VICVIL"
"Achyrachaena mollis",137,4.2992700729927,1,17,"Native Forb","ACHMOL"
"Euphorbia crenulata",131,7.33587786259542,1,18,"Native Forb","EUPCRE"
"Festuca perennis",209,7.92822966507177,1,20,"Exotic Grass","FESPER"
"Lactuca serriola",270,3.53703703703704,1,17,"Exotic Forb","LACSER"
"Amsinckia menziesii",84,3.61904761904762,1,16,"Native Forb","AMSMEN"
"Festuca myuros",213,4.24413145539906,1,18,"Exotic Grass","FESMYU"
"Holocarpha virgata",223,9.73542600896861,1,20,"Native Forb","HOLVIR"
"Medicago polymorpha",166,4.5,1,18,"Exotic Forb","MEDPOL"
"Sidalcea diploscypha",133,6.96240601503759,1,20,"Native Forb","SIDDIP"
"Trifolium fucatum",91,7.86813186813187,1,20,"Native Forb","TRIFUC"
"Agoseris heterophylla",235,5.91914893617021,1,19,"Native Forb","AGOHET"
"Navarretia pubescens",136,5.92647058823529,1,19,"Native Forb","NAVPUB"
"Geranium dissectum",164,10.8353658536585,1,20,"Exotic Forb","GERDIS"
"Epilobium brachycarpum",239,4.23012552301255,1,16,"Native Forb","EPIBRA"
"Gilia tricolor",46,5.93478260869565,1,19,"Native Forb","GILTRI"
"Trifolium hirtum",201,9.42786069651741,1,20,"Exotic Forb","TRIHIR"
"Trifolium willdenovii",47,3,1,11,"Native Forb","TRIWIL"
"Hypochaeris glabra",221,6.32579185520362,1,20,"Exotic Forb","HYPGLA"
"Calandrinia menziesii",45,1.75555555555556,1,9,"Native Forb","CALMEN"
"Castilleja attenuata",124,4.09677419354839,1,16,"Native Forb","CASATT"
"Galium aparine",102,3,1,14,"Native Forb","GALAPA"
"Galium murale",164,7.14024390243902,1,17,"Exotic Forb","GALMUR"
"Velezia rigida",10,9.7,2,18,"Exotic Forb","VELRIG"
"Trifolium albopurpureum",141,5.07801418439716,1,19,"Native Forb","TRIALB"
"Croton setiger",171,4.37426900584795,1,16,"Native Forb","CROSET"
"Collinsia sparsiflora",107,7.57943925233645,1,20,"Native Forb","COLSPA"
"Acmispon brachycarpus",121,8.52066115702479,1,20,"Native Forb","ACMBRA"
"Rigiopappus leptocladus",72,4.625,1,16,"Native Forb","RIGLEP"
"Ancistrocarphus filagineus",125,7.352,1,20,"Native Forb","ANCFIL"
"Thysanocarpus curvipes",29,3.31034482758621,1,14,"Native Forb","THYCUR"
"Minuartia douglasii",23,4.95652173913043,1,18,"Native Forb","MINDOU"
"Calycadenia pauciflora",65,10.0461538461538,1,20,"Native Forb","CALPAU"
"Minuartia californica",22,4.45454545454545,1,18,"Native Forb","MINCAL"
"Eriogonum vimineum",62,6.79032258064516,1,18,"Native Forb","ERIVIM"
"Clarkia gracilis",71,6.98591549295775,1,20,"Native Forb","CLAGRA"
"Navarretia jepsonii",63,8.88888888888889,1,20,"Native Forb","NAVJEP"
"Hordeum marinum",31,1.93548387096774,1,8,"Exotic Grass","HORMAR"
"Claytonia parviflora",39,2.74358974358974,1,15,"Native Forb","CLAPAR"
"Chaenactis glabriuscula",6,4.16666666666667,1,13,"Native Forb","CHAGLA"
"Microseris douglasii",159,8.85534591194969,1,19,"Native Forb","MICDOU"
"Cerastium glomeratum",147,2.21768707482993,1,8,"Exotic Forb","CERGLO"
"Gilia capitata",3,1,1,1,"Native Forb","GILCAP"
"Hordeum murinum",6,1.5,1,2,"Exotic Grass","HORMUR"
"Lepidium nitidum",80,1.9875,1,7,"Native Forb","LEPNIT"
"Claytonia exigua",7,1.42857142857143,1,3,"Native Forb","CLAEXI"
"Uropappus lindleyi",25,1.52,1,4,"Native Forb","UROLIN"
"Castilleja rubicundula",61,3.90163934426229,1,16,"Native Forb","CASRUB"
"Tetrapteron graciliflorum",43,4.18604651162791,1,14,"Native Forb","TETGRA"
"Chorizanthe membranacea",15,3.06666666666667,1,15,"Native Forb","CHOMEM"
"Lagophylla minor",36,6.5,1,17,"Native Forb","LAGMIN"
"Acmispon parviflorus",39,5.61538461538461,1,17,"Native Forb","ACMPAR"
"Streptanthus breweri",3,1,1,1,"Native Forb","STRBRE"
"Cryptantha hispidula",12,1.41666666666667,1,3,"Native Forb","CRYHIS"
"Chorizanthe polygonoides",8,3.375,1,11,"Native Forb","CHOPOL"
"Acmispon americanus",18,4.16666666666667,1,10,"Native Forb","ACMAME"
"Melilotus indicus",41,2.34146341463415,1,9,"Exotic Forb","MELIND"
"Diplacus douglasii",34,4.14705882352941,1,15,"Native Forb","DIPDOU"
"Stellaria nitens",89,2.52808988764045,1,10,"Native Forb","STENIT"
"Bromus diandrus",192,8.79166666666667,1,20,"Exotic Grass","BRODIA"
"Helianthus exilis",6,2.16666666666667,1,4,"Native Forb","HELEXI"
"Bromus japonicus",2,1,1,1,"Exotic Grass","BROJAP"
"Leptosiphon bicolor",116,5.66379310344828,1,19,"Native Forb","LEPBIC"
"Sagina apetala",31,1.03225806451613,1,2,"Native Forb","SAGAPE"
"Githopsis specularioides",43,4.16279069767442,1,13,"Native Forb","GITSPE"
"Astragalus breweri",20,2.7,1,15,"Native Forb","ASTBRE"
"Trifolium variegatum",6,2.66666666666667,1,6,"Native Forb","TRIVAR"
"Erythranthe guttata",3,6.33333333333333,2,10,"Native Forb","ERYGUT"
"Zeltnera trichantha",18,1.77777777777778,1,4,"Native Forb","ZELTRI"
"Lessingia ramulosa",32,10.75,1,20,"Native Forb","LESRAM"
"Trifolium ciliolatum",6,1.66666666666667,1,3,"Native Forb","TRICIL"
"Plectritis ciliosa",40,5.1,1,20,"Native Forb","PLECIL"
"Triphysaria eriantha",54,3.94444444444444,1,19,"Native Forb","TRIERI"
"Cardamine oligosperma",19,1.52631578947368,1,3,"Native Forb","CAROLI"
"Nemophila menziesii",16,2.3125,1,7,"Native Forb","NEMMEN"
"Trifolium dubium",30,1.6,1,4,"Exotic Forb","TRIDUB"
"Nemophila pedunculata",4,1,1,1,"Native Forb","NEMPED"
"Festuca bromoides",6,1.16666666666667,1,2,"Exotic Grass","FESBRO"
"Antirrhinum vexillocalyculatum",4,2,1,5,"Native Forb","ANTVEX"
"Polypogon monspeliensis",17,1.23529411764706,1,2,"Exotic Grass","POLMON"
"Poa bulbosa",19,3.78947368421053,1,13,"Exotic Grass","POABUL"
"Stellaria media",7,1,1,1,"Exotic Forb","STEMED"
"Pectocarya pusilla",16,3.6875,1,10,"Native Forb","PECPUS"
"Nemophila heterophylla",23,2.17391304347826,1,6,"Native Forb","NEMHET"
"Melica imperfecta",5,1,1,1,"Native Grass","MELIMP"
"Leptosiphon latisectus",5,6.2,4,9,"Native Forb","LEPLAT"
"Crassula connata",16,2,1,4,"Native Forb","CRACON"
"Trichostema laxum",1,3,3,3,"Native Forb","TRILAX"
"Cynosurus echinatus",16,3.375,1,14,"Exotic Grass","CYNECH"
"Aira caryophyllea",32,4.8125,1,12,"Exotic Grass","AIRCAR"
"Trifolium depauperatum",17,1.47058823529412,1,4,"Native Forb","TRIDEP"
"Layia platyglossa",2,1,1,1,"Native Forb","LAYPLA"
"Linanthus dichotomus",1,1,1,1,"Native Forb","LINDIC"
"Leptosiphon ciliatus",13,6.46153846153846,1,16,"Native Forb","LEPCIL"
"Petrorhagia prolifera",3,1.66666666666667,1,2,"Exotic Forb","PETPRO"
"Centaurea melitensis",56,5.75,1,19,"Exotic Forb","CENMEL"
"Castilleja densiflora",11,8,1,18,"Native Forb","CASDEN"
"Aphanes occidentalis",53,2.30188679245283,1,8,"Native Forb","APHOCC"
"Layia septentrionalis",5,9.2,1,14,"Native Forb","LAYSEP"
"Lupinus microcarpus",63,4.68253968253968,1,17,"Native Forb","LUPMIC"
"Triphysaria versicolor",1,1,1,1,"Native Forb","TRIVER"
"Hordeum depressum",2,1,1,1,"Native Grass","HORDEP"
"Festuca octoflora",1,1,1,1,"Native Grass","FESOCT"
"Carduus pycnocephalus",47,4.61702127659574,1,16,"Exotic Forb","CARPYC"
"Eriogonum covilleanum",8,3.375,1,7,"Native Forb","ERICOV"
"Phalaris paradoxa",16,3.3125,1,8,"Exotic Grass","PHAPAR"
"Rumex crispus",2,2.5,2,3,"Exotic Forb","RUMCRI"
"Collinsia heterophylla",5,1.4,1,3,"Native Forb","COLHET"
"Daucus pusillus",78,5.20512820512821,1,18,"Native Forb","DAUPUS"
"Erythranthe androsacea",3,1,1,1,"Native Forb","ERYAND"
"Hesperevax sparsiflora",17,2.11764705882353,1,6,"Native Forb","HESSPA"
"Astragalus rattanii var. jepsonianus",5,5.6,1,14,"Native Forb","ASTRATVARJEP"
"Bellardia trixago",7,2.42857142857143,1,10,"Exotic Forb","BELTRI"
"Brassica nigra",10,3.5,1,13,"Exotic Forb","BRANIG"
"Capsella bursa-pastoris",3,1,1,1,"Exotic Forb","CAPBUR"
"Allophyllum gilioides",6,2.5,1,9,"Native Forb","ALLGIL"
"Navarretia viscidula",3,1,1,1,"Native Forb","NAVVIS"
"Madia exigua",37,5.10810810810811,1,16,"Native Forb","MADEXI"
"Navarretia tagetina",3,1.33333333333333,1,2,"Native Forb","NAVTAG"
"Tragopogon dubius",2,1,1,1,"Exotic Forb","TRADUB"
"Briza minor",6,2.5,1,4,"Exotic Grass","BRIMIN"
"Juncus bufonius",1,1,1,1,"Native Grass","JUNBUF"
"Madia gracilis",36,4.72222222222222,1,17,"Native Forb","MADGRA"
"Madia elegans",9,1.11111111111111,1,2,"Native Forb","MADELE"
"Convolvulus arvensis",1,1,1,1,"Exotic Forb","CONARV"
"Leptosiphon jepsonii",5,18,15,20,"Native Forb","LEPJEP"
"Trifolium obtusiflorum",2,1,1,1,"Native Forb","TRIOBT"
"Anthriscus caucalis",2,1,1,1,"Exotic Forb","ANTCAU"
"Matricaria discoidea",6,1.5,1,3,"Exotic Forb","MATDIS"
"Atriplex prostrata",1,1,1,1,"Native Forb","ATRPRO"
"Sisymbrium officinale",4,1.25,1,2,"Exotic Forb","SISOFF"
"Castilleja exserta",1,1,1,1,"Native Forb","CASEXS"
"Bromus tectorum",1,4,4,4,"Exotic Grass","BROTEC"
"Poa annua",2,1,1,1,"Exotic Grass","POAANN"
