"species","Species_Name","Code","FunGroup","n.plots","min.years","max.years","mean.years"
"amin","Amsinckia intermedia","AMSINT","Native Forb",1,1,1,1
"asnu","Astragalus nuttallianus","ASTNUT","Native Forb",3,1,2,1.33333333333333
"boin","Bowlesia incana","BOWINC","Native Forb",4,1,5,2
"cach","Camissonia chamaenerioides","CAMCHA","Native Forb",15,1,2,1.33333333333333
"chbr","Chorizanthe brevicornu","CHOBRE","Native Forb",19,1,7,1.68421052631579
"chst","Chaenactis stevioides","CHASTE","Native Forb",16,1,4,1.5625
"cran","Cryptantha angustifolia","CRYANG","Native Forb",20,1,3,1.55
"crba","Cryptantha barbigera","CRYBAR","Native Forb",4,1,1,1
"crmi","Cryptantha micrantha","CRYMIC","Native Forb",2,1,1,1
"crne","Cryptantha nevadensis","CRYNEV","Native Forb",3,1,2,1.33333333333333
"crpt","Cryptantha pterocarya","CRYPTE","Native Forb",19,1,5,1.63157894736842
"dapu","Daucus pusillis","DAUPUS","Native Forb",28,1,9,3.14285714285714
"drcu","Draba cuneifolia","DRACUN","Native Forb",33,1,6,1.96969696969697
"erab","Eriogonum abertianum","ERIABE","Native Forb",2,1,2,1.5
"erci","Erodium cicutarium","EROCIC","Exotic Forb",31,1,11,5.06451612903226
"erde","Eriogonum deflexum","ERIDEF","Native Forb",9,1,2,1.22222222222222
"erdi","Eriastrum diffusum","ERIDIF","Native Forb",17,1,9,2.76470588235294
"erla","Eriophyllum lanosum","ERILAN","Native Forb",43,1,11,6.18604651162791
"erte","Erodium texanum","EROTEX","Native Forb",33,1,13,5.36363636363636
"ertr","Eriogonum trichopes","ERITRI","Native Forb",12,1,2,1.08333333333333
"eumi","Eucrypta micrantha","EUCMIC","Native Forb",10,1,5,2.3
"evmu","Evax multicaulis","EVAMUL","Native Forb",41,1,8,3.90243902439024
"fiar","Filago arizonica","LOGARI","Native Forb",7,1,1,1
"fica","Filago californica","LOGFIL","Native Forb",25,1,5,2.52
"fide","Filago depressa","LOGDEP","Native Forb",30,1,3,1.6
"hapa","Harpagonella palmerii","HARPAL","Native Forb",14,1,5,2
"hehi","Herniaria hirsuta","HERHIR","Native Forb",6,1,1,1
"lare","Lappula redowskii","LAPRED","Native Forb",20,1,5,1.85
"lego","Lesquerella gordonii","LESGOR","Native Forb",26,1,12,5.57692307692308
"lela","Lepidium lasiocarpum","LEPLAS","Native Forb",35,1,7,2.48571428571429
"lohu","Lotus humistratus","ACMBRA","Native Forb",9,1,5,2.44444444444444
"loto","Lotus tomentellus","ACMSTR","Native Forb",3,1,1,1
"mapa","Matthiola parviflora","MATPAR","Exotic Forb",3,1,1,1
"meal","Mentzelia albicaulis","MENALB","Native Forb",3,1,1,1
"mobe","Monoptilon bellioides","MONBEL","Native Forb",23,1,11,4
"negl","Nemacladus glanduliferus","NEMGLA","Native Forb",4,1,1,1
"pehe","Pectocarya heterocarpa","PECHET","Native Forb",43,1,12,7
"pepl","Pectocarya platycarpa","PECPLA","Native Forb",8,1,5,1.5
"pere","Pectocarya recurvata","PECREC","Native Forb",44,3,12,8.36363636363636
"phcr","Phacelia crenulata","PHACRE","Native Forb",30,1,6,3.23333333333333
"plar","Plagiobothrys arizonicus","PLAARI","Native Forb",3,1,2,1.66666666666667
"plin","Plantago insularis","PLAINS","Native Forb",27,1,11,3.37037037037037
"plpa","Plantago patagonica","PLAPAT","Native Forb",32,1,9,3.71875
"scba","Schismus barbatus","SCHBAR","Exotic Grass",44,1,13,6.95454545454545
"siir","Sisymbrium irio","SISIRI","Exotic Forb",1,1,1,1
"spec","Spermolepis echinata","SPEECH","Native Forb",10,1,4,1.5
"stmi","Stylocline micropoides","STYMIC","Native Forb",31,1,6,1.93548387096774
"vuoc","Vulpia octoflora","FESOCT","Native Grass",15,1,3,1.46666666666667
