Species,Code.4,Code,Status,Habit,Longevity,Nitrogen fixer,Root depth (cm),SRL (cm/mg),LMA (g/m2),Leaf N (%),A,T corr A,PS2,WUE (A/E),Height (cm),Germ days,R:S,seed wt (g),NUE,NUE_adjusted,species.count
Agoseris heterophylla,aghe,AGOHET,Native,Forb,Annual,No,16.1,1.198443941,37.04619357,2.03334651,14.06368403,14.49245498,0.1074,4.66949654,11.02,,0.266468435,,7.127390688,0.192391984,Agoseris
Allium falcifolium,alfa,ALLFAL,Native,Bulb,Perennial,No,10,5.72318473,46.43937421,3.879222095,15.75636408,13.96670714,0.1636,4.951202012,6.8,,36.5517334,0.0734,3.600388634,0.077528793,
Allium serra,alse,ALLSER,Native,bulb,Perennial,no,9.33,,67.59374403,,,,,,12.25,,6.706850328,,#DIV/0!,,
Anagalis arvensis,anar,ANAARV,Exotic,Forb,Annual,No,4.9,16.76280193,33.24070889,1.3317258,8.43879953,8.101067208,0.1376,2.199578357,6.1,,0.240212156,,6.083134537,0.183002551,
Astragalus gambelianus,asga,ASTGAM,Native,Forb,Annual,Yes,4.4,1.227247302,30.37905913,2.703316879,7.24,7.337093699,0.231,2.896984584,13.7,,0.141392053,,2.714107901,0.089341407,Astragalus
Avena fatua,avfa,AVEFAT,Exotic,Grass,Annual,No,6.8,3.09553033,36.89500538,1.887862825,14.00783075,15.62494719,0.1238,6.305144852,12.8,18,0.571384037,0.23604,8.27652676,0.224326482,
Bromus hordeaceus,brho,BROHOR,Exotic,Grass,Annual,No,7.5,4.503389632,41.60216886,1.743091249,8.574893085,8.976020384,0.1124,7.653446216,39.2,8,0.227135719,0.0463,5.149483935,0.123779218,Bromus mollis
Calandrinia ciliata,caci,CALMEN,Native,Forb,Annual,no,10.7,6.639047619,42.66315762,,,,,,12.1,,0.162932477,0.006090833,#DIV/0!,,Calandrinia
Calycadenia multiglandulosa,camu,CALMUL,Native,Forb,Annual,No,8.875,0.788297961,69.2022077,1.448107886,20.33415009,20.18558409,0.2004,3.242284188,12.975,,0.220555276,,13.93928193,0.201428284,Calycadenia
Calystegia subacaulis,casu,CALSUB,Native,Forb,Perennial,no,30,,49.60053906,,,,,,7.8,,,0.1659475,#DIV/0!,,
Castilleja densiflora,cade,CASDEN,Native,Forb,Annual,No,3.7,5.147964929,38.5130816,1.691022563,10.16378791,11.56936613,0.1598,1.606328945,15.14,,0.158116864,,6.841639126,0.177644552,Orthocarpus
