"Species_Name","ID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Astragalus gambelianus","1.1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","1.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","1.1",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
"Bromus madritensis","1.1",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea solstitialis","1.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Elymus caput-medusae","1.1",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"Erodium cicutarium","1.1",1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1
"Festuca microstachys","1.1",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","1.1",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"Senecio vulgaris","1.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon wrangelianus","1.2",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"Astragalus gambelianus","1.2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Athysanus pusillus","1.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avena fatua","1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia purpurea","1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Elymus caput-medusae","1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"Erodium cicutarium","1.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Festuca microstachys","1.2",1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"Hemizonia congesta","1.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","1.2",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Plagiobothrys nothofulvus","1.2",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
"Plantago erecta","1.2",1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0
"Senecio vulgaris","1.2",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acmispon wrangelianus","1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Astragalus gambelianus","1.3",1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"Avena fatua","1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","1.3",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
"Centaurea solstitialis","1.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"Clarkia purpurea","1.3",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
"Erodium cicutarium","1.3",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Festuca microstachys","1.3",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hemizonia congesta","1.3",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lasthenia californica","1.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lupinus bicolor","1.3",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Plagiobothrys nothofulvus","1.3",1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Plantago erecta","1.3",1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0
"Acmispon wrangelianus","1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Avena fatua","1.4",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Bromus hordeaceus","1.4",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Centaurea solstitialis","1.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Clarkia purpurea","1.4",1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
