Genus,Species,Species code,Code,Native.Invasive,Forb.Grass,Family,author citation,synonym (APG III classification),is active name,is present on plots,is present in soil samples
Brassica,tournefortii,brto,BRATOU,Exotic,Forb,Brassicaceae,Gouan,,TRUE,FALSE,TRUE
Bromus,rubens,brru,BRORUB,Exotic,Grass,Poaceae,L.,alternate: Bromus madritensis  L.  ssp. rubens  (L.) Husnot,TRUE,TRUE,TRUE
Erodium,cicutarium,erci,EROCIC,Exotic,Forb,Geraniaceae,(L.) L'H-r.,,TRUE,TRUE,TRUE
Matthiola,parviflora,mapa,MATPAR,Exotic,Forb,Brassicaceae,Kuntze,,TRUE,TRUE,TRUE
Schismus,barbatus,scba,SCHBAR,Exotic,Grass,Poaceae,(Loefl. ex L.) Thell.,,TRUE,TRUE,TRUE
Sisymbrium,irio,siir,SISIRI,Exotic,Forb,Brassicaceae,L.,,TRUE,TRUE,TRUE
Amsinckia,intermedia,amin,AMSINT,Native,Forb,Boraginaceae,Fisch. & C.A. Mey.,alternate: Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders,TRUE,TRUE,TRUE
Astragalus,nuttallianus,asnu,ASTNUT,Native,Forb,Fabaceae,A. DC.,,TRUE,TRUE,FALSE
Bowlesia,incana,boin,BOWINC,Native,Forb,Apiaceae,Ruiz Lopez & Pavon,,TRUE,TRUE,TRUE
Camissonia,chamaenerioides,cach,CAMCHA,Native,Forb,Onagraceae,(A. Gray) Raven,active: Eremothera chamaenerioides (A. Gray) W.L. Wagner & Hoch,FALSE,TRUE,TRUE
Chaenactis,stevioides,chst,CHASTE,Native,Forb,Asteraceae,Hook. & Arn.,,TRUE,TRUE,TRUE
Chorizanthe,brevicornu,chbr,CHOBRE,Native,Forb,Polygonaceae,Torrey,,TRUE,TRUE,TRUE
Chorizanthe,rigida,chri,CHORIG,Native,Forb,Polygonaceae,(Torrey) Torrey & A. Gray,,TRUE,TRUE,FALSE
Cistanthe,monandra,cimo,CALMON,Native,Forb,Portulacaceae,(Nutt.) Hershkovitz,alternate: Calyptridium monandrum,TRUE,TRUE,TRUE
Crassula,connata,crco,CRACON,Native,Forb,Crassulaceae,Ruiz Lopez & Pavon,,TRUE,TRUE,FALSE
Cryptantha,angustifolia,cran,CRYANG,Native,Forb,Boraginaceae,(Torrey) Greene,,TRUE,TRUE,TRUE
Cryptantha,barbigera,crba,CRYBAR,Native,Forb,Boraginaceae,(A. Gray) Greene,,TRUE,TRUE,TRUE
